Ciudad,Fecha,Temperatura
Bogota,01/01/2023,17.3
Bogota,02/01/2023,16.8
Bogota,03/01/2023,18.1
Bogota,04/01/2023,17.5
Bogota,05/01/2023,16.9
Bogota,06/01/2023,17.8
Bogota,07/01/2023,18.2
Bogota,08/01/2023,17.6
Bogota,09/01/2023,16.7
Bogota,10/01/2023,17.9
Medellin,01/01/2023,22.5
Medellin,02/01/2023,23.0
Medellin,03/01/2023,24.2
Medellin,04/01/2023,23.8
Medellin,05/01/2023,22.9
Medellin,06/01/2023,23.5
Medellin,07/01/2023,24.0
Medellin,08/01/2023,23.3
Medellin,09/01/2023,22.7
Medellin,10/01/2023,23.9
Cali,01/01/2023,25.1
Cali,02/01/2023,26.3
Cali,03/01/2023,27.0
Cali,04/01/2023,26.5
Cali,05/01/2023,25.8
Cali,06/01/2023,26.9
Cali,07/01/2023,27.3
Cali,08/01/2023,26.7
Cali,09/01/2023,25.9
Cali,10/01/2023,26.8
Barranquilla,01/01/2023,28.5
Barranquilla,02/01/2023,29.0
Barranquilla,03/01/2023,30.2
Barranquilla,04/01/2023,29.8
Barranquilla,05/01/2023,28.9
Barranquilla,06/01/2023,30.5
Barranquilla,07/01/2023,31.0
Barranquilla,08/01/2023,29.7
Barranquilla,09/01/2023,28.8
Barranquilla,10/01/2023,30.1
Cartagena,01/01/2023,29.5
Cartagena,02/01/2023,30.0
Cartagena,03/01/2023,31.2
Cartagena,04/01/2023,30.8
Cartagena,05/01/2023,29.9
Cartagena,06/01/2023,31.5
Cartagena,07/01/2023,32.0
Cartagena,08/01/2023,30.7
Cartagena,09/01/2023,29.8
Cartagena,10/01/2023,31.1
